name,b_eff,h_eff,mu_r,p_loss,p_mag,p_el
unit,T,A/m,1,W /m^3,W /m^3,W /m^3
group,post-processing,post-processing,post-processing,post-processing,post-processing,post-processing
24,0.07499999999999989,(31.64335512273155+1.7340563272103144j),(1880.4709304339833-103.04983470958278j),124124.53507962437,122480.53466969692,1644.0004099275036
25,0.07499999999999994,(31.443862502349912+2.021306779388788j),(1890.2731700606355-121.51248827190854j),192807.73563855293,189271.35651290623,3536.379125646907
26,0.07499999999999987,(31.23114019758862+2.374069082952791j),(1900.0334000938792-144.43310501000641j),282883.54267571424,276424.03357963223,6459.509096081709
27,0.07499999999999994,(31.001519251108096+2.814951628416383j),(1909.4243901322639-173.37657721882962j),402214.8694409193,391596.40500324283,10618.464437676705
28,0.07500000000000018,(30.74965242151291+3.3628815952702817j),(1917.996036795101-209.75825949262034j),560195.9314047049,543978.2452842555,16217.686120449374
29,0.07500000000000005,(30.467911444958137+4.034808701256314j),(1925.1226980868175-254.94040926497766j),767637.9606979194,744172.6930554033,23465.267642515773
30,0.07500000000000012,(30.145705529326445+4.846472230521361j),(1929.9390596023925-310.2729193006381j),1036697.6842578142,1004120.5244886567,32577.15976915748
31,0.07499999999999994,(29.768671003623993+5.812804844761265j),(1931.2599467505943-377.1091149349125j),1380829.2806028218,1337048.0505292348,43781.23007358781
32,0.075,(29.31766035855963+6.948177083588031j),(1927.4778445102372-456.80512102800185j),1814752.7153403768,1757431.6536901363,57321.061650236006
33,0.09999999999999983,(41.49910022819659+2.251614344157417j),(1911.942603327743-103.73616216221996j),71823.39131648566,71642.2013181436,181.18999834200213
34,0.0999999999999999,(41.2484128896882+2.7553335082945765j),(1920.6550059207236-128.29693859591046j),175706.52145633343,174689.64254322214,1016.8789131113473
35,0.1,(40.98797507421008+3.1923731957012182j),(1929.7770095448361-150.30184798828137j),305250.51996563724,302329.46699660714,2921.0529690299904
36,0.10000000000000017,(40.71087142086537+3.667523419786192j),(1938.9623092701754-174.6754473962554j),467330.8449059756,461047.1663924663,6283.678513508726
37,0.0999999999999999,(40.411317473920356+4.232808790221851j),(1947.8179950380122-204.02059736038012j),673763.6540745823,662285.4261031344,11478.227971448368
38,0.1,(40.08182979378636+4.924823105674447j),(1955.8480827047338-240.31352556630438j),940021.8032277473,921152.363175098,18869.440052648057
39,0.09999999999999991,(39.71206881633746+5.773510970546324j),(1962.3830516119306-285.29966870511123j),1284734.1068163712,1255913.1216215107,28820.98519486266
40,0.09999999999999996,(39.28769974404194+6.805314148211805j),(1966.5025157203668-340.63250024596897j),1729427.7020435003,1687724.7120135287,41702.99002997338
41,0.10000000000000014,(38.78909473264259+8.044573887904184j),(1966.9408673914359-407.9291164161377j),2298371.596623029,2240472.2647823584,57899.33184067346
42,0.10000000000000002,(38.1897308694715+9.514281441160975j),(1961.9671791123408-488.788674217065j),3018482.151149441,2940667.6145166857,77814.53663275909
43,0.0999999999999999,(37.45409012030283+11.236541502149638j),(1949.2268264357149-584.7844137181578j),3919272.5797926565,3817392.599005085,101879.98078757481
44,0.0250000000000001,(11.189062600244139+0.13468318192770157j),(1777.7615977679854-21.39898553173191j),1086.0946793314315,1047.8829405878669,38.211738743564716
45,0.024999999999999998,(11.116577936173805+0.17590471079415543j),(1789.1646106007624-28.31109404331569j),2833.43170281855,2618.79318202887,214.6385207896795
46,0.025,(11.034503161794705+0.22283678021990624j),(1802.188788224707-36.394384144713136j),5374.939797145339,4757.6015488912735,617.3382482540596
47,0.02500000000000002,(10.943423827430967+0.28358770793217897j),(1816.7090494430843-47.07816890174829j),9103.121918155519,7772.902185800674,1330.2197323548469
48,0.02499999999999995,(10.843691497446748+0.36314929175433436j),(1832.593678318624-61.372559013835684j),14544.194641410204,12109.297548167893,2434.897093242328
49,0.025000000000000012,(10.735358263727633+0.46555733590480647j),(1849.68427098377-80.21475020296313j),22336.59716902873,18324.013405335896,4012.5837636928686
50,0.02499999999999998,(10.618117146940827+0.5944286791456832j),(1867.7711569194173-104.56248752858112j),33222.32673036026,27076.34946280077,6145.977267559391
51,0.024999999999999998,(10.49123678681028+0.7531644125580228j),(1886.561397208895-135.43597722146953j),48042.64492354074,39121.49311605044,8921.151807490172
52,0.024999999999999988,(10.353488105234721+0.9450511224722435j),(1905.6362485729667-173.9436658865847j),67736.19284567327,55306.73063452735,12429.46221114575
53,0.02499999999999996,(10.203061384323696+1.173323022055599j),(1924.394153836632-221.29985101088272j),93338.84150198568,76569.4037233173,16769.43777866839
54,0.025000000000000078,(10.037474550239677+1.4412076043250115j),(1941.9735918449005-278.8337936954866j),125985.13226586646,103936.52221940923,22048.610046457354
55,0.05000000000000009,(21.876050398809333+0.5230688042488708j),(1817.7870421125851-43.464321811430516j),8498.692553855235,8345.999558214748,152.69299564049143
56,0.049999999999999996,(21.731206830478243+0.6601515785199209j),(1829.26111177317-55.56937632973547j),21424.63553167084,20566.910633763255,857.7248979075584
57,0.05000000000000002,(21.567046735185272+0.7991785719231502j),(1842.3559214811237-68.26949430685674j),38836.42272103745,36369.2664299189,2467.1562911186957
58,0.05000000000000009,(21.384008847469232+0.967684384780916j),(1856.8745873478676-84.02861013994088j),62564.998741969226,57248.3404584112,5316.658283558086
59,0.05000000000000004,(21.182122072623546+1.1810741373390612j),(1872.589411698444-104.41196195684422j),95231.13862528527,85498.19222040879,9732.946404876426
60,0.049999999999999996,(20.960620694410505+1.4511230933031252j),(1889.2065162119434-130.7915086896713j),140086.1573269595,124044.8590261159,16041.29830084367
61,0.04999999999999996,(20.71770571845701+1.7880411276740806j),(1906.3191240305996-164.52482927208018j),200949.65516651433,176376.72445746296,24572.93070905121
